id,category,name,prep_time,eat_time,price
1,Appetizer,Bruschetta,5,4,5.0
2,Appetizer,Caprese Salad,5,4,7.0
3,Appetizer,Arancini,10,7,6.5
4,Appetizer,Prosciutto e Melone,2,3,8.0
5,Appetizer,Burrata,0,2,9.5
6,First Course,Spaghetti Carbonara,10,12,10.0
7,First Course,Fettuccine Alfredo,10,12,11.0
8,First Course,Lasagna,20,20,12.0
9,First Course,Risotto alla Milanese,15,16,13.5
10,First Course,Gnocchi al Pesto,10,12,11.5
11,Second Course,Pollo alla Cacciatora,30,29,14.0
12,Second Course,Bistecca alla Fiorentina,20,22,25.0
13,Second Course,Osso Buco,30,29,22.0
14,Second Course,Saltimbocca alla Romana,15,19,18.0
15,Second Course,Branzino al Forno,25,26,19.0
16,Wine,Chianti Classico,0,10,8.0
17,Wine,Prosecco,0,10,7.5
18,Wine,Barolo,0,10,12.0
19,Wine,Nero d’Avola,0,10,9.0
20,Wine,Pinot Grigio,0,10,7.0
21,Dessert,Tiramisu,0,5,6.0
22,Dessert,Panna Cotta,5,6,5.5
23,Dessert,Cannoli,10,8,6.5
24,Dessert,Gelato al Limone,0,5,5.0
25,Dessert,Affogato al Caffè,2,5,6.0
